complaint_number,status,message,report_file,folder,workbook_row,backup_file
104-1552972,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1552972/104-1552972 - DEO Report.odt,,39,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-1552972/104-1552972 - DEO Report.odt
104-1568413,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1568413/104-1568413 - DEO Report.odt,,38,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-1568413/104-1568413 - DEO Report.odt
104-1578867,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1578867/104-1578867 - DEO Report.odt,,37,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-1578867/104-1578867 - DEO Report.odt
104-1592848,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1592848/104-1592848 - DEO Report.odt,,36,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-1592848/104-1592848 - DEO Report.odt
104-1593110,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1593110/104-1593110 - DEO Report.odt,,35,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-1593110/104-1593110 - DEO Report.odt
104-4758591,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-4758591/104-4758591 - DEO Report.odt,,34,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-4758591/104-4758591 - DEO Report.odt
104-5262882,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-5262882/104-5262882 - DEO Report.odt,,33,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-5262882/104-5262882 - DEO Report.odt
104-5345008,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-5345008/104-5345008 - DEO Report.odt,,32,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-5345008/104-5345008 - DEO Report.odt
104-5483995,skipped_no_reply,Folder exists but workbook has no reply.,,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-5483995,,
104-5770514,skipped_no_reply,Folder exists but workbook has no reply.,,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-5770514,,
104-6031795,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6031795/104-6031795 - DEO Report.odt,,31,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6031795/104-6031795 - DEO Report.odt
104-6251810,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6251810/104-6251810 - DEO Report.odt,,30,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6251810/104-6251810 - DEO Report.odt
104-6252028,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6252028/104-6252028 - DEO Report.odt,,29,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6252028/104-6252028 - DEO Report.odt
104-6265145,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6265145/104-6265145 - DEO Report.odt,,28,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6265145/104-6265145 - DEO Report.odt
104-6273524,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6273524/104-6273524 - DEO Report.odt,,27,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6273524/104-6273524 - DEO Report.odt
104-6299108,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6299108/104-6299108 - DEO Report.odt,,26,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6299108/104-6299108 - DEO Report.odt
104-6351208,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6351208/104-6351208 - DEO Report.odt,,25,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6351208/104-6351208 - DEO Report.odt
104-6360051,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6360051/104-6360051 - DEO Report.odt,,24,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6360051/104-6360051 - DEO Report.odt
104-6372339,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6372339/104-6372339 - DEO Report.odt,,23,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6372339/104-6372339 - DEO Report.odt
104-6386738,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6386738/104-6386738 - DEO Report.odt,,22,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6386738/104-6386738 - DEO Report.odt
104-6389429,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6389429/104-6389429 - DEO Report.odt,,21,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6389429/104-6389429 - DEO Report.odt
104-6424265,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6424265/104-6424265 - DEO Report.odt,,20,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6424265/104-6424265 - DEO Report.odt
104-6603617,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6603617/104-6603617 - DEO Report.odt,,19,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6603617/104-6603617 - DEO Report.odt
104-6603993,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6603993/104-6603993 - DEO Report.odt,,18,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6603993/104-6603993 - DEO Report.odt
104-6605754,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6605754/104-6605754 - DEO Report.odt,,17,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6605754/104-6605754 - DEO Report.odt
104-6607465,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6607465/104-6607465 - DEO Report.odt,,16,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6607465/104-6607465 - DEO Report.odt
104-6607857,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6607857/104-6607857 - DEO Report.odt,,15,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6607857/104-6607857 - DEO Report.odt
104-6608387,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6608387/104-6608387 - DEO Report.odt,,14,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6608387/104-6608387 - DEO Report.odt
104-6609317,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6609317/104-6609317 - DEO Report.odt,,40,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6609317/104-6609317 - DEO Report.odt
104-6619970,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6619970/104-6619970 - DEO Report.odt,,13,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6619970/104-6619970 - DEO Report.odt
104-6621168,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6621168/104-6621168 - DEO Report.odt,,12,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6621168/104-6621168 - DEO Report.odt
104-6625937,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6625937/104-6625937 - DEO Report.odt,,11,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6625937/104-6625937 - DEO Report.odt
104-6659312,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6659312/104-6659312 - DEO Report.odt,,10,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6659312/104-6659312 - DEO Report.odt
104-6666597,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6666597/104-6666597 - DEO Report.odt,,9,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6666597/104-6666597 - DEO Report.odt
104-6672345,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6672345/104-6672345 - DEO Report.odt,,8,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6672345/104-6672345 - DEO Report.odt
104-6676270,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6676270/104-6676270 - DEO Report.odt,,7,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6676270/104-6676270 - DEO Report.odt
104-6678218,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6678218/104-6678218 - DEO Report.odt,,6,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6678218/104-6678218 - DEO Report.odt
104-6698020,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6698020/104-6698020 - DEO Report.odt,,5,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6698020/104-6698020 - DEO Report.odt
104-6701817,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6701817/104-6701817 - DEO Report.odt,,4,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6701817/104-6701817 - DEO Report.odt
104-6704432,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6704432/104-6704432 - DEO Report.odt,,3,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6704432/104-6704432 - DEO Report.odt
104-6706553,updated,Applied reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6706553/104-6706553 - DEO Report.odt,,2,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/.reply-backups/20260619-195610/104-6706553/104-6706553 - DEO Report.odt
